Generation, Best Fitness, Purple, Light Blue, Pink, Orange, Red, Yellow, Green, Dark Blue, Railroad, Utility, Purple Upgrade, Light Blue Upgrade, Pink Upgrade, Orange Upgrade, Red Upgrade, Yellow Upgrade, Green Upgrade, Dark Blue Upgrade, Railroad Upgrade, Utility Upgrade, Mean Fitness, Median Fitness 
10,216,0.886582858132,0.883511632512,0.0284915122395,0.0657484971833,0.993483094315,0.0724397137654,0.0858699050075,0.0512105528246,0.970776125423,0.963333565491,0.960936776439,0.0294852548126,0.949869914673,0.143644567797,0.0201407838681,0.993203007231,0.841426029089,0.042687331479,0.825347323279,0.165504472287,182,185
11,211,0.970281094417,0.885946924713,0.025701934037,0.903613364298,0.0316243345746,0.063871573277,0.112494066397,0.0159442285083,0.857513005539,0.901738034148,0.0651625391592,0.918513650771,0.90544519814,0.111475912765,0.984378330817,0.0493930890336,0.00724619269065,0.994153104344,0.155116791578,0.116653452173,181,174
12,224,0.890222267756,0.184287707611,0.195579146927,0.962956776903,0.992676413416,0.802631214362,0.118441022087,0.160819568048,0.947622941583,0.999499599756,0.0567641611948,0.140569456025,0.0207559562694,0.936292225882,0.0458089881685,0.0857826571146,0.907806007994,0.877813449829,0.934659725187,0.0915550800732,170,155
13,212,0.985773346051,0.974235662741,0.00311902698546,0.885178645862,0.0585264205233,0.891738337928,0.000792680422233,0.935588314991,0.90521022109,0.188594560077,0.117093836957,0.0315738815463,0.851205156338,0.961051290583,0.994424302657,0.831785809256,0.882162140992,0.577088184898,0.231293874731,0.656836853324,172,206
14,212,0.989335102698,0.949057950813,0.185703269888,0.595385606289,0.925879548436,0.0121948256107,0.0934571667086,0.857854104121,0.861601070793,0.737818331422,0.0496550963002,0.0664231025725,0.995327658275,0.843199993751,0.96541950113,0.181558944104,0.0618384554425,0.892247280889,0.885107772547,0.105469265856,176,195
15,213,0.947136073359,0.885946924713,0.0148296243561,0.8693603033,0.180550179568,0.137970332953,0.0179579289413,0.174610272439,0.818115616429,0.888417805878,0.115878603565,0.0392704699503,0.710053406629,0.177571847745,0.189023812145,0.181558944104,0.0618384554425,0.042687331479,0.830770507448,0.841703580372,178,164
16,221,0.903024074123,0.924000873255,0.806980168195,0.861979573588,0.875143635556,0.0384455697118,0.112570737035,0.150737505626,0.818115616429,0.84805688532,0.0668362057711,0.163939019892,0.955051709902,0.800437489906,0.904393338356,0.14378310393,0.952004151334,0.968416217239,0.965969330399,0.184704016375,177,171
17,221,0.985773346051,0.947311777229,0.153031772529,0.991100189649,0.115720062045,0.974077903402,0.0556278571584,0.918642475059,0.991410113533,0.922145937802,0.117093836957,0.0315738815463,0.851205156338,0.961051290583,0.994424302657,0.831785809256,0.812689482216,0.805199147059,0.980229553862,0.960359545139,177,184
18,216,0.989335102698,0.99619300196,0.965528917631,0.893805348194,0.923230660359,0.856644461509,0.98611747288,0.939584347123,0.867980569019,0.994010908643,0.985438522362,0.0547978460488,0.995166577999,0.800437489906,0.943092683028,0.752013141687,0.0728498508264,0.892247280889,0.947186553126,0.880370182154,174,157
19,225,0.989335102698,0.99619300196,0.965528917631,0.0657484971833,0.875143635556,0.106661753916,0.00926696374777,0.0822448215264,0.847599200338,0.90315254782,0.0496550963002,0.96228948352,0.91005444236,0.138945477414,0.969728103855,0.910544483482,0.117460006425,0.8007420095,0.944476734351,0.815069805313,177,162
